"meanelev","convex","slope","binY","binX"
121.8975,-1.0175,12.4995835564731,5,5
121.465,-0.174999999999997,6.67665148898536,15,5
123.4525,0.107500000000002,24.5665422775068,25,5
126.595,0.174999999999997,10.542510826916,35,5
127.9275,0.00250000000001194,7.55353807561067,45,5
128.615,-0.085000000000008,9.58258187883607,55,5
129.1125,-0.0525000000000091,10.8514092338087,65,5
129.745,0.0250000000000057,10.613269491441,75,5
130.48,0.0199999999999818,11.6359395377738,85,5
131.205,-0.0649999999999977,12.5863274366871,95,5
131.9175,0.0125000000000171,12.8613704644206,105,5
132.735,-0.185000000000002,11.7022410522759,115,5
134.0625,-0.202499999999986,12.2709457072829,125,5
135.92,0.110000000000014,12.262178863547,135,5
137.54,0.0800000000000125,7.86007504735405,145,5
138.6625,0.0775000000000148,5.69180718244337,155,5
139.505,0.085000000000008,4.06519406501268,165,5
140.1025,0.0075000000000216,2.77814169073873,175,5
140.5925,0.0175000000000125,2.84447973824849,185,5
141.075,-0.0149999999999864,2.72115731164936,195,5
141.57,-0.0199999999999818,3.01165656922364,205,5
142.1025,-0.0124999999999886,3.14900396860377,215,5
142.675,-0.0250000000000057,3.44548209576325,225,5
143.25,0.0600000000000023,3.15068173645358,235,5
143.6525,0.0775000000000148,1.71749888052764,245,5
143.8675,-0.0974999999999966,1.546340119272,255,5
144.23,-0.110000000000014,3.25283451291097,265,5
144.865,0.0349999999999966,4.14383398600542,275,5
145.515,0.0150000000000148,3.3590716968677,285,5
146.0575,0.0124999999999886,2.95394192410704,295,5
146.545,0.00499999999999545,2.82962518706991,305,5
146.9675,0.022500000000008,2.51722990065353,315,5
147.31,0.00999999999999091,2.43342672538023,325,5
147.555,0.0449999999999875,2.38109479403967,335,5
147.6475,0.0424999999999898,2.92330839821824,345,5
147.6,-0.039999999999992,3.60075997509431,355,5
147.625,-0.085000000000008,3.65699131385572,365,5
147.705,0.125000000000028,3.93276181435879,375,5
147.4775,0.0725000000000193,5.68418165856592,385,5
146.7625,0.0875000000000057,8.61962464003175,395,5
145.6425,0.0675000000000239,11.6698564961395,405,5
144.17,-0.0699999999999932,14.662738278651,415,5
142.5175,-0.0674999999999955,15.0096865112003,425,5
140.895,-0.0450000000000159,14.5300499476789,435,5
139.285,-0.0449999999999875,13.7530176619535,445,5
137.64,-0.0199999999999818,12.652646045802,455,5
135.9425,0.0875000000000057,11.6585146876483,465,5
134.9625,-0.922500000000014,4.96097640438195,475,5
136.22,0.280000000000001,18.3200370206173,485,5
138.03,0.0999999999999943,14.8216376642912,495,5
124.2775,-0.0974999999999966,17.5275014903788,5,15
122.57,-1.3809375,14.3847768011376,15,15
124.1025,-0.743125000000006,26.7084127968061,25,15
127.4425,0.723124999999996,11.5667566874715,35,15
129.0275,0.239687500000002,10.9572579312625,45,15
130.2375,0.229062499999998,11.0137061901498,55,15
131.005,0.170312499999994,11.4343379793043,65,15
131.565,0.0393750000000068,11.3262314395035,75,15
132.3475,0.0931250000000148,11.692675580398,85,15
133.26,0.244687499999998,12.2267409729783,95,15
133.985,0.271562500000016,11.6605710121565,105,15
134.475,0.0365625000000023,9.66076423787135,115,15
135.29,-0.104687500000011,9.85129971257131,125,15
136.7125,0.152812499999982,9.8993608661525,135,15
137.9575,0.206874999999997,5.5387634597831,145,15
138.7875,0.0631249999999852,4.42806407462431,155,15
139.4975,0.0487500000000125,3.76508145899721,165,15
140.085,0.0300000000000011,2.99914244260318,175,15
140.6075,0.0162500000000136,3.00554069884273,185,15
141.12,0.0162500000000136,2.86696600279699,195,15
141.6325,0.00937500000000568,3.0164034124573,205,15
142.165,0.00437500000001023,3.1041659653943,215,15
142.7175,0.00562500000000909,3.24915136310435,225,15
143.2675,0.0549999999999784,3.07225688999798,235,15
143.695,0.0828124999999886,1.85510975605802,245,15
143.975,0.00218749999999091,1.45806653055853,255,15
144.36,-0.046875,3.13193933711598,265,15
144.965,0.0103124999999977,3.96030158942114,275,15
145.5925,0.0393750000000068,3.31191978592365,285,15
146.1425,0.0199999999999818,3.02830706124542,295,15
146.6725,0.0290625000000091,3.12710757137587,305,15
147.17,0.0481249999999989,2.83712646236559,315,15
147.59,0.0571874999999977,2.68413669403422,325,15
147.91,0.0699999999999932,2.45353068723454,335,15
148.1025,0.0762499999999875,2.44070440675733,345,15
148.1675,0.0337499999999977,2.97185990732928,355,15
148.24,0.0356250000000102,3.58531561127742,365,15
148.3425,0.137812499999995,3.43492092969704,375,15
148.24,0.21531250000001,4.0663066640301,385,15
147.78,0.223437500000017,6.28594707810601,395,15
147.03,0.284687500000018,8.27627923480072,405,15
145.9375,0.326250000000016,11.5047206253621,415,15
144.48,0.273749999999978,13.4755168591991,425,15
142.8,0.21875,14.1389146661511,435,15
140.9975,0.191562500000003,13.5978536754099,445,15
139.0575,0.0859375,13.8734537893454,455,15
137.0725,-0.334062500000016,12.5120152715925,465,15
136.015,-0.893749999999983,7.9030330576761,475,15
137.485,-0.0709374999999852,18.5154910010925,485,15
139.685,0.284999999999997,8.9872901533878,495,15
126.835,0.0549999999999926,16.9109938259099,5,25
124.6725,-1.05625000000001,19.4017739626284,15,25
124.905,-0.958124999999995,19.831734107649,25,25
127.6625,0.429999999999993,15.3085252396401,35,25
130.0825,0.791562499999998,13.9627724835532,45,25
131.74,0.787499999999994,9.77372730410311,55,25
132.5575,0.462812500000013,7.35604027072924,65,25
133.105,0.179374999999993,7.30384831280818,75,25
133.8525,0.1484375,8.72780114455183,85,25
134.8225,0.359375,8.47354471107517,95,25
135.5125,0.407812499999977,6.63091051695208,105,25
135.78,0.121875000000017,5.5445157866413,115,25
